client_id,client_type,first_name,last_name,age,satisfaction_score,property_count,total_spent,avg_price,cluster
C0001,Individual,Kareem,Liu,58.06707734428473,4,4,1246764.72,311691.18,1
C0002,Individual,Trystan,Oconnor,,1,5,1841095.9300000002,368219.18600000005,0
C0003,Individual,Kale,Gay,67.16221765913758,4,5,1661457.5899999999,332291.518,0
C0004,Individual,Russell,Gross,,5,6,1608263.51,268043.91833333333,0
C0005,Company,Marleez,Co,,5,13,3653385.38,281029.64461538463,0
C0006,Individual,Yurem,Wright,69.24845995893224,3,5,1514131.06,302826.212,1
C0007,Individual,Xavier,Faulkner,,5,11,3251147.83,295558.8936363636,0
C0008,Individual,Kayden,Olsen,,5,5,1476730.4100000001,295346.08200000005,0
C0009,Individual,Joaquin,Mullins,50.666666666666664,5,5,1820832.35,364166.47000000003,0
C0010,Individual,Nicolas,Navarro,,3,5,1732434.0,346486.8,0
C0011,Individual,Laci,Guerra,,2,5,1325211.52,265042.304,1
C0012,Company,Kylax,Co,,5,4,1599526.4,399881.6,2
C0013,Individual,Harley,Lucero,63.81930184804928,1,5,2142750.89,428550.178,0
C0014,Company,Esther,Co,45.90280629705681,3,4,1548140.0699999998,387035.01749999996,2
C0015,Individual,Jaylynn,Hickman,,5,5,1585907.37,317181.47400000005,0
C0016,Individual,Olivia,Oconnell,86.7542778918549,5,4,1010217.73,252554.4325,1
C0017,Individual,Antonio,Porter,49.40451745379877,3,5,1778693.75,355738.75,0
C0018,Individual,Luke,Lynn,59.32375085557837,2,4,1061478.67,265369.6675,1
C0019,Individual,Anahi,Curry,68.73648186173854,5,4,1773474.26,443368.565,3
C0020,Individual,Camille,Sharp,,5,4,1508032.25,377008.0625,3
C0021,Individual,Jesus,Obrien,87.98904859685148,3,6,1928172.72,321362.12,0
C0022,Individual,Araceli,Nelson,,5,4,1372403.2,343100.8,3
C0023,Individual,Cole,Taylor,67.49623545516769,3,5,1457871.69,291574.338,1
C0024,Individual,Alonso,Terrell,62.58179329226557,4,6,1884156.9000000001,314026.15,0
C0025,Individual,Rodolfo,Gibson,,2,5,1694448.83,338889.766,0
C0026,Individual,Joseph,Reeves,,5,10,2932241.75,293224.175,0
C0027,Individual,Grant,Weber,57.738535249828885,5,5,1517969.44,303593.888,1
C0028,Individual,Ava,Phelps,,3,5,1791082.79,358216.558,0
C0029,Individual,Kyla,Walker,,4,4,1247795.31,311948.8275,1
C0030,Individual,Alanna,Hess,,3,4,1547311.29,386827.8225,3
C0031,Individual,Skylar,Buchanan,,4,5,1077148.21,215429.642,1
C0032,Individual,Rodrigo,Robinson,59.81656399726215,4,5,1888995.1600000001,377799.032,0
C0033,Individual,Lydia,Tate,,3,4,1404998.67,351249.6675,1
C0034,Individual,Lauryn,Patrick,,2,5,1632608.66,326521.73199999996,0
C0035,Individual,Diego,Mendez,61.06502395619439,3,5,1987876.4,397575.27999999997,0
C0036,Individual,Victor,Jensen,52.75838466803559,4,4,1173683.53,293420.8825,1
C0037,Individual,Scarlet,Hendricks,,5,5,1607228.75,321445.75,0
C0038,Individual,Janelle,Espinoza,,4,4,1175129.27,293782.3175,1
C0039,Individual,Aleksandra,Karenina,,1,4,1858527.54,464631.885,3
C0040,Individual,Conner,Huff,,5,6,1854608.29,309101.38166666665,0
C0041,Individual,Zain,Horne,,1,5,1374460.79,274892.158,1
C0042,Individual,Maia,Chandler,50.8145106091718,1,4,1101390.25,275347.5625,1
C0043,Individual,Jordyn,Park,61.16906228610541,3,4,1126492.46,281623.115,1
C0044,Individual,Diana,Hunt,,3,4,1330493.26,332623.315,3
C0045,Individual,Kevin,Mata,57.64544832306639,2,5,1463432.3599999999,292686.47199999995,1
C0046,Individual,Brisa,Mckee,,5,8,2026517.4,253314.675,0
C0047,Individual,Mason,Gilbert,,2,5,1438239.28,287647.856,1
C0048,Individual,Derick,Li,,3,4,1338718.0,334679.5,1
C0049,Individual,Jace,Riggs,,1,4,1390091.2,347522.8,3
C0050,Individual,Jair,Johns,86.25051334702259,5,9,2744452.35,304939.15,0
C0051,Individual,Matilda,Madden,85.25667351129364,3,4,1270440.42,317610.105,1
C0052,Individual,Myla,Ewing,59.3347022587269,2,4,1474211.53,368552.8825,3
C0053,Individual,Miguel,Walter,72.40793976728268,4,4,1120539.44,280134.86,1
C0054,Company,Bridger CAL,Co,,5,6,2109277.6,351546.26666666666,2
C0055,Individual,Mara,Franco,52.993839835728956,5,4,1178979.21,294744.8025,1
C0056,Individual,Erik,Mora,61.492128678986994,5,4,1579301.3599999999,394825.33999999997,3
C0057,Individual,Henry,Kennedy,92.99110198494182,4,5,2020519.52,404103.904,0
C0058,Company,Kenyon,Co,57.08966461327858,1,5,1441406.17,288281.234,2
C0059,Individual,Oswaldo,Palmer,,2,4,1278854.25,319713.5625,1
C0060,Individual,Kassidy,Vega,54.078028747433265,5,4,1355662.25,338915.5625,3
C0061,Individual,Morgan,Glass,59.06639288158795,5,4,1306907.58,326726.895,1
C0062,Individual,Tyler,Carr,,5,5,1489333.49,297866.698,1
C0063,Individual,Yesenia,Marquez,,4,5,1625480.88,325096.176,0
C0064,Individual,Gordon,Brown,52.31485284052019,4,4,1448881.28,362220.32,3
C0065,Individual,Rodrigo,Ramirez,,1,4,1557125.73,389281.4325,3
C0066,Individual,Melanie,Holland,,3,4,1107164.17,276791.0425,1
C0067,Individual,Enrique,Cardenas,48.98562628336756,2,5,1431941.84,286388.368,1
C0068,Individual,Helen,Williamson,,5,4,1572779.33,393194.8325,3
C0069,Individual,Isis,Rios,56.17796030116359,4,5,1439142.47,287828.494,1
C0070,Individual,Kayley,Nielsen,,4,5,1521570.62,304314.124,1
C0071,Individual,Donavan,Flowers,,1,5,1150384.09,230076.81800000003,1
C0072,Individual,Augustus,Hinton,73.33333333333333,2,6,2246488.58,374414.76333333337,0
C0073,Individual,Alejandra,Greer,61.39630390143737,1,4,1413902.33,353475.5825,3
C0074,Individual,Violet,Nixon,67.42505133470226,5,5,1709458.65,341891.73,0
C0075,Individual,Jaelyn,Berger,56.0848733744011,3,4,1269395.74,317348.935,3
C0076,Individual,Tristian,Fuller,,5,6,1905852.0899999999,317642.01499999996,0
C0077,Individual,Christian,Costa,,5,5,1880012.18,376002.436,0
C0078,Individual,Nora,Lynch,,5,4,1685882.3900000001,421470.59750000003,3
C0079,Individual,Dangelo,Shea,,4,4,1456436.3,364109.075,3
C0080,Individual,Aiyana,Christensen,,3,5,1427531.56,285506.31200000003,1
C0081,Individual,Sidney,Cline,,4,4,1522144.26,380536.065,3
C0082,Individual,Kaitlin,Owen,,5,5,1282267.95,256453.59,1
C0083,Individual,Issac,Edwards,,5,6,1513641.46,252273.57666666666,0
C0084,Individual,Zaiden,Merritt,,3,5,1762231.92,352446.38399999996,0
C0085,Individual,Iris,Larsen,,4,4,1185505.46,296376.365,1
C0086,Individual,Grace,Stein,,3,5,1928188.6099999999,385637.72199999995,0
C0087,Individual,Alessandra,Perry,,4,4,1681153.28,420288.32,3
C0088,Individual,Jamal,Mueller,,2,6,1450519.57,241753.2616666667,1
C0089,Individual,Irvin,Ellis,,3,4,1041853.81,260463.4525,1
C0090,Individual,Terry,Forbes,,5,5,980850.4199999999,196170.08399999997,1
C0091,Individual,Jacqueline,Grant,,4,4,1356644.74,339161.185,1
